Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
G6292	sfmD	predicted outer membrane export usher protein	unknown	unknown	1.21906825152E-07	0.09	0.725	0.345	0.344	N	u	u	putative outer membrane export usher protein	Membrane; Outer membrane constituents	Predicted outer membrane fimbrial subunit export usher protein	Unclear/under-characterized 	N/A
G6301	ybcL	DLP12 prophage; periplasmic protein	characterized	unknown	1.17118156669E-06	0.38	0.807	0.257	0.272	N	u	u	DLP12 prophage; inactive polymorphonuclear leukocyte migration suppressor; UPF0098 family secreted protein	Phage or Prophage Related	Inactive polymorphonuclear leukocyte migration suppressor; Raf kinase inhibitor RKIP homolog; UPF0098 family; periplasmic; DLP12 prophage	Unclear/under-characterized 	N/A
G6302	ybcM	DLP12 prophage; predicted DNA-binding transcriptional regulator	unknown	unknown	3.02678589124E-06	0.69	0.773	0.43	0.314	N	u	N	DLP12 prophage; putative DNA-binding transcriptional regulator	Phage or Prophage Related	Putative transcriptional activator, lethality reduction protein; DLP12 prophage; AraC family	Unclear/under-characterized 	N/A
G6305	ybcO	DLP12 prophage; predicted protein	unknown	unknown	8.66644611187E-08	0.00	0.857	0.261	0.269	E	u	u	DLP12 prophage; DUF1364 family protein	Phage or Prophage Related	DUF1364 family protein, DLP12 prophage	Unclear/under-characterized 	N/A
G6353	djlB	predicted chaperone	unknown	unknown	1.8620692667E-07	0.09	0.821	0.395	0.454	N	u	u	putative HscC co-chaperone, uncharacterized J domain-containing protein	Putative factor; Chaperones	Predicted HscC co-chaperone; uncharacterized J domain-containing protein	Unclear/under-characterized 	N/A
G6379	ybgI	conserved metal-binding protein	unknown	unknown	3.99075667602E-05	1.00	0.795	0.379	0.413	N	N	u	GTP cyclohydrolase-like radiation resistance protein; metal-binding	Putative enzyme; Not classified	GTP cyclohydrolase-like radiation resistance protein; metal-binding	Unclear/under-characterized 	N/A
G6387	ybgQ	predicted outer membrane usher protein	unknown	unknown	1.34493643216E-07	0.00	0.782	0.381	0.362	N	N	u	putative outer membrane protein	Putative membrane; Not classified	Putative outer membrane fimbrial subunit export usher protein; function unknown	Unclear/under-characterized 	N/A
G6436	bssR	regulator of biofilm formation	characterized	characterized	0.000002228	0.69	0.742	0.214	0.266	N	N	u	repressor of biofilm formation by indole transport regulation	Putative factor; Not classified	Repressor of biofilm formation by indole transport regulation; global regulator. e.g. of AI-2 transport and motility genes	Unclear/under-characterized 	regulation of single-species biofilm formation
G6468	ycaO	protein involved in &beta;-methylthiolation of ribosomal protein S12	characterized	unknown	1.35893293087E-05	1.00	0.729	0.281	0.336	N	N	N	ribosomal protein S12 methylthiotransferase accessory factor	Null	Ribosomal protein S12 methylthiotransferase accessory factor	Unclear/under-characterized 	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
G6480	elfA	fimbrial-like adhesin protein	characterized	characterized	5.75788863047E-07	0.22	0.728	0.266	0.381	N	N	u	laminin-binding fimbrin subunit	Structural component; Surface structures	Laminin-binding fimbrin subunit, FimA homolog	Unclear/under-characterized 	cell adhesion involved in single-species biofilm formation
G6481	elfD	predicted periplasmic pilin chaperone	unknown	unknown	1.92591582822E-07	0.03	0.757	0.325	0.451	N	N	u	putative periplasmic pilin chaperone	Putative factor; Surface structures	Putative periplasmic pilus chaperone, induced by AI-2 pheromone	Unclear/under-characterized 	N/A
G6482	elfC	predicted outer membrane usher protein	unknown	unknown	4.85139925882E-07	0.19	0.805	0.386	0.443	N	N	u	putative outer membrane fimbrial subunit export usher protein	Putative membrane; Outer membrane constituents	Putative outer membrane fimbrial subunit export usher protein	Unclear/under-characterized 	N/A
G6500	hspQ	heat shock protein	characterized	characterized	0.000028593	1.00	0.79	0.275	0.339	N	u	N	heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein	Null	Heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein; mutation suppresses some dnaA(Ts)	Unclear/under-characterized 	N/A
G6510	cspH	stress protein	characterized	characterized	9.45569888874E-07	0.31	0.758	0.367	0.396	?	N	N	stress protein, member of the CspA-family	Phenotype; Not classified	Cold shock protein homolog, not cold-inducible	Unclear/under-characterized 	N/A
G6528	pgaD	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase - PgaD subunit	characterized	characterized	4.13047479754E-06	0.72	0.76	0.291	0.328	N	N	N	biofilm PGA synthase PgaCD, regulatory subunit; c-di-GMP-stimulated activity and dimerization	Enzyme; Surface polysaccharides and antigens	Biofilm PGA synthase PgaCD, regulatory subunit; c-di-GMP-stimulated activity and dimerization	Unclear/under-characterized 	polysaccharide transport
G6529	pgaC	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase - PgaC subunit	characterized	characterized	3.00717811201E-07	0.13	0.808	0.308	0.317	N	N	N	biofilm PGA synthase PgaCD, catalytic subunit; poly-beta-1,6-N-acetyl-D-glucosamine synthase	Enzyme; Surface polysaccharides and antigens	Biofilm PGA synthase PgaCD, catalytic subunit; poly-beta-1,6-N-acetyl-D-glucosamine synthase; c-di-GMP-stimulated activity and dimerization	Unclear/under-characterized 	polysaccharide transport
G6530	pgaB	poly-&beta;-1,6-N-acetyl-D-glucosamine N-deacetylase	characterized	characterized	1.73213459252E-07	0.03	0.708	0.439	0.625	N	N	N	poly-beta-1,6-N-acetyl-D-glucosamine (PGA) N-deacetylase outer membrane export lipoprotein	Transport; Surface polysaccharides & antigens	Poly-beta-1,6-N-acetyl-D-glucosamine (PGA) N-deacetylase; deacetylase required for biofilm adhesin polysaccharide PGA export; outer membrane lipoprotein	Unclear/under-characterized 	N/A
G6531	pgaA	partially N-deacetylated poly-&beta;-1,6-N-acetyl-D-glucosamine outer membrane porin	characterized	characterized	8.69768438549E-07	0.22	0.725	0.248	0.26	N	N	N	biofilm adhesin polysaccharide PGA secretin; OM porin; poly-beta-1,6-N-acetyl-D-glucosamine export protein	Transport; Surface polysaccharides & antigens	Biofilm adhesin polysaccharide PGA secretin; OM porin	Unclear/under-characterized 	N/A
G6540	ycdX	zinc-binding phosphatase	characterized	unknown	3.63466868757E-05	1.00	0.828	0.33	0.367	E	N	u	alkaline phosphatase	Enzyme; Central intermediary metabolism: Phosphorus compounds	Alkaline phosphatase; required for swarming phenotype; chaperoned by YcdY	Unclear/under-characterized 	bacterial-type flagellar swarming motility
G6557	bssS	regulator of biofilm formation	characterized	characterized	4.5163702862E-06	0.81	0.789	0.414	0.509	N	u	u	biofilm regulator	Null	Repressor of biofilm formation by indole transport regulation; global regulator, e.g. of AI-2 transport and motility genes; cold shock gene	Unclear/under-characterized 	regulation of single-species biofilm formation
G6605	ymgA	protein involved in biofilm formation	characterized	unknown	0.000001558	0.47	0.81	0.166	0.211	N	N	u	RcsB connector protein for regulation of biofilm	Null	Connector protein for RcsB regulation of biofilm; blue light, low temperature and stress induction, BluRF(YcgEF) and RpoS regulons	Unclear/under-characterized 	N/A
G6629	ycgV	putative adhesion and penetration protein	characterized	unknown	1.05178912749E-06	0.44	0.72	0.287	0.295	N	u	N	putative adhesin	Putative factor; Not classified	Overexpression increases adhesion and biofilm formation; probable adhesin, function unknown	Unclear/under-characterized 	N/A
G6672	smrA	conserved protein with endonuclease activity	unknown	unknown	3.42739677215E-06	0.75	0.829	0.444	0.495	E	N	u	DNA endonuclease	Null	DNA endonuclease, function unknown	Unclear/under-characterized 	N/A
G6763	yncE	conserved protein	unknown	unknown	0.0002189738	1.00	0.677	0.308	0.287	E	N	N	ATP-binding protein, periplasmic, function unknown	Putative factor; Not classified	DNA-binding, ATP-binding periplasmic protein, function unknown	Unclear/under-characterized 	N/A
G6776	bdm	biofilm-dependent modulation protein	characterized	characterized	3.30655876453E-06	0.75	0.695	0.262	0.215	N	N	u	biofilm-dependent modulation protein	Null	Osmoresponsive gene with reduced expression in biofilms; function unknown	Unclear/under-characterized 	N/A
G6800	lsrA	AI-2 ABC transporter - ATP binding subunit	characterized	characterized	2.65151354795E-07	0.06	0.75	0.338	0.417	N	N	N	autoinducer 2 import ATP-binding protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Autoinducer 2 (AI-2) import ATP-binding protein; essential for aerobic growth; upregulated in biofilms	Unclear/under-characterized 	N/A
G6801	lsrC	Autoinducer-2 ABC transporter - membrane subunit	characterized	characterized	1.44365968024E-07	0.00	0.789	0.263	0.261	N	N	N	autoinducer 2 import system permease protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Autoinducer 2 (AI-2) import system permease protein	Unclear/under-characterized 	N/A
G6802	lsrD	Autoinducer-2 ABC transporter - membrane subunit	characterized	characterized	2.39891641645E-07	0.16	0.432	0.17	0.226	N	N	u	autoinducer 2 import system permease protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Autoinducer-2 (AI-2) import system permease protein	Unclear/under-characterized 	N/A
G6803	lsrB	Autoinducer-2 ABC transporter - periplasmic binding protein	characterized	characterized	6.75931223433E-07	0.16	0.785	0.311	0.38	N	N	N	autoinducer 2-binding protein	Putative regulator; Not classified	Autoinducer-2 (AI-2)-binding protein	Unclear/under-characterized 	N/A
G6804	lsrF	predicted class I aldolase	unknown	unknown	1.25589010813E-06	0.31	0.749	0.248	0.235	N	N	N	putative autoinducer-2 (AI-2) aldolase	Enzyme; Degradation of small molecules: Carbon compounds	Putative autoinducer-2 (AI-2) aldolase	Unclear/under-characterized 	N/A
G6818	ydfK	Qin prophage; cold shock gene	characterized	unknown	1.30976360284E-06	0.47	0.602	0.179	0.125	N	N	u	cold shock protein, function unknown, Qin prophage	Phage or Prophage Related	Cold shock gene, function unknown, Qin prophage	Unclear/under-characterized 	N/A
G6859	tqsA	quorum signal AI-2 exporter	characterized	characterized	7.34146464281E-07	0.34	0.804	0.303	0.339	N	N	u	pheromone AI-2 transporter	Putative transport; Not classified	Pheromone AI-2 transporter; mutants have increased intracellular AI-2 and decreased extracellular AI-2; controls biofilm formation	Unclear/under-characterized 	N/A
G6865	ydgA	conserved protein	unknown	unknown	7.24938114247E-05	1.00	0.848	0.329	0.337	E	N	u	DUF945 family protein	Null	DUF945 family protein required for swarming	Unclear/under-characterized 	N/A
G6869	cnu	H-NS- and StpA-binding protein	characterized	characterized	5.02912823789E-06	0.81	0.867	0.299	0.335	N	N	u	nucleoid-associated oriC-binding protein; H-NS and StpA stabilizing factor	Null	Nucleoid-associated oriC-binding protein; H-NS and StpA stabilizing factor	Unclear/under-characterized 	N/A
G6882	slyA	SlyA DNA-binding transcriptional activator	characterized	characterized	6.21028544408E-05	1.00	0.68	0.283	0.29	N	N	N	global transcriptional regulator	Regulator; Adaptations, atypical conditions	Activates crytpic hemolysin gene hlyE; global transcriptional regulator	Unclear/under-characterized 	pathogenesis
G6936	cedA	cell division modulator	characterized	characterized	2.28337129442E-06	0.44	0.796	0.288	0.361	N	u	N	cell division modulator	Null	DNA-binding protein that modulates cell division; relieves inhibition of cell division after over-replication of chromosome in dnaAcos mutants	Unclear/under-characterized 	N/A
G6982	yoaG	predicted protein	unknown	unknown	0.000000563	0.09	0.632	0.353	0.505	?	u	u	uncharacterized protein	Null	Stress-induced protein, function unknown; involved in cadmium and peroxide resistance	Unclear/under-characterized 	N/A
G6991	tsaB	protein involved in threonylcarbamoyladenosine biosynthesis	characterized	characterized	7.01042837825E-06	0.88	N.A.	N.A.	N.A.	E	u	u	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; binding partner and protease for TsaD	Enzyme; tRNA modification	tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; binding partner and protease for TsaD	Unclear/under-characterized 	threonylcarbamoyladenosine biosynthetic process
G6993	yoaB	conserved protein	unknown	unknown	3.74071881185E-05	1.00	0.831	0.315	0.355	E	u	u	putative reactive intermediate deaminase	Putative enzyme; Not classified	Putative reactive intermediate deaminase, UPF0076 family; reaction intermediate detoxification	Unclear/under-characterized 	N/A
G6996	yoaD	predicted phosphodiesterase	unknown	unknown	7.57161184324E-07	0.19	0.83	0.256	0.308	N	u	N	putative membrane-anchored cyclic-di-GMP phosphodiesterase, regulator of cellulose production	Null	Predicted membrane-anchored cyclic-di-GMP phosphodiesterase; regulation of cellulose production	Unclear/under-characterized 	N/A
G7000	yobF	small protein involved in stress responses	characterized	unknown	0.0002749384	1.00	0.659	0.366	0.495	?	N	u	DUF2527 family heat-induced protein	Null	DUF2527 family heat-induced protein, function unknown	Unclear/under-characterized 	cellular response to heat
G7024	cutC	copper homeostasis protein	characterized	characterized	1.17102967144E-05	0.97	0.818	0.442	0.438	E	N	u	putative copper homeostasis protein	Putative transport; Detoxification	Putative copper homeostasis protein	Unclear/under-characterized 	copper ion homeostasis
G7033	ftnB	predicted ferritin-like protein	unknown	unknown	8.34722390728E-06	0.94	0.832	0.401	0.168	N	u	N	ferritin B, putative ferrous iron reservoir	Putative carrier; Transport of small molecules: Cations	Ferritin B, probable ferrous iron reservoir; ferritin-like protein; required for oxidatively damaged aconitase iron-sulfur cluster repair and virulence in Salmonella; apparently missing an active ferroxidase center	Unclear/under-characterized 	N/A
G7035	yecR	predicted protein	unknown	unknown	2.45436281947E-05	1.00	0.693	0.345	0.401	N	u	N	lipoprotein, function unknown	Null	Required for phage lambda growth and antibiotic resistance; verified lipoprotein	Unclear/under-characterized 	N/A
G7040	yedL	predicted acyltransferase	unknown	unknown	3.48454500803E-06	0.81	0.802	0.252	0.153	N	u	u	GNAT family putative N-acetyltransferase	Null	GNAT family putative N-acetyltransferase	Unclear/under-characterized 	N/A
G7046	yodD	stress-induced protein	characterized	unknown	3.20071701101E-06	0.72	0.82	0.29	0.386	?	N	u	uncharacterized protein	Null	Peroxide and acid resistance protein, stress-induced	Unclear/under-characterized 	cellular response to acidity
G7059	yedY	reductase	characterized	unknown	2.19181668389E-06	0.66	0.798	0.289	0.344	N	N	u	membrane-anchored, periplasmic TMAO, DMSO reductase	Putative enzyme; Not classified	Membrane-anchored, periplasmic TMAO, DMSO reductase; activity shown in vitro; Mo-MPT form of the molybdenum cofactor; tungsten cofactor	Unclear/under-characterized 	N/A
G7060	yedZ	conserved inner membrane protein	unknown	unknown	1.25977630754E-06	0.44	0.779	0.322	0.343	N	N	u	inner membrane heme subunit for periplasmic YedYZ reductase	Null	Inner membrane heme subunit for periplasmic YedYZ reductase	Unclear/under-characterized 	N/A
G7064	yeeJ	adhesin	characterized	unknown	1.03859853003E-06	0.25	0.752	0.187	0.305	N	N	u	putative adhesin	Putative factor; Not classified	Overexpression increases adhesion and biofilm formation; probable adhesin, function unknown; intimin/invasin homolog	Unclear/under-characterized 	N/A
G7084	cbeA	CP4-44 prophage; antitoxin of the CbtA-CbeA toxin-antitoxin system	characterized	characterized	3.68348227136E-07	0.09	0.76	0.362	0.445	N	N	N	CP4-44 prophage; cytoskeleton bundling-enhancing factor A; CbtA antitoxin	Phage or Prophage Related	Cytoskeleton bundling-enhancing factor A, CbtA antitoxin; CP4-44 putative defective prophage	Unclear/under-characterized 	negative regulation of cell killing
